marketplace,categoria,titulo,ranking_venda,preco,link_produto,link_imagem_produto,data_extracao
Mercado Livre,Eletrodomésticos,"Liquidificador Mondial Turbo Power C/ Filtro Copo 1,6l 500w Cor Branco 220V",1,162,https://www.mercadolivre.com.br/liquidificador-mondial-turbo-power-c-filtro-copo-16l-500w-cor-branco-220v/p/MLB26450814#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=1&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097505-2ace-11f0-896c-ef58f407f176&c_element_id=83097505-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_739626-MLU71232882218_082023-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Liquidificador PH900 Com 12 Velocidades 1200W Cor Preto Philco 127V,2,118,https://www.mercadolivre.com.br/liquidificador-ph900-com-12-velocidades-1200w-cor-preto-philco-127v/p/MLB15578941#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=2&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097506-2ace-11f0-896c-ef58f407f176&c_element_id=83097506-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_601586-MLA78076031678_082024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Sanduicheira Elétrica Cadence SAN400 Potência de 750W Preto 220V,3,125,https://www.mercadolivre.com.br/sanduicheira-eletrica-cadence-san400-potncia-de-750w-preto-220v/p/MLB25741527#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=3&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097507-2ace-11f0-896c-ef58f407f176&c_element_id=83097507-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_818827-MLU78233291750_082024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Britânia BAS1295P aspirador de pó 2 em 1 1250w preto 110V,4,189,https://www.mercadolivre.com.br/britnia-bas1295p-aspirador-de-po-2-em-1-1250w-preto-110v/p/MLB25860033#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=4&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097508-2ace-11f0-896c-ef58f407f176&c_element_id=83097508-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_856254-MLU75812427918_042024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Filtro/Refil Original de Água Acqua Pure para Purificador de água Electrolux PE12A/PE12B/PE12G/PE12V,5,84,https://www.mercadolivre.com.br/filtrorefil-original-de-agua-acqua-pure-para-purificador-de-agua-electrolux-pe12ape12bpe12gpe12v/p/MLB27864827#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=5&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=83097509-2ace-11f0-896c-ef58f407f176&c_element_id=83097509-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_762209-MLA82995835276_032025-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Ventilador de Mesa 30cm Super Power Mondial Preto 60W 6 Pás VSP-30-B - 127V,6,107,https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-preto-60w-6-pas-vsp-30-b-127v/p/MLB18932156#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=6&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=8309750a-2ace-11f0-896c-ef58f407f176&c_element_id=8309750a-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_798840-MLA52223242014_102022-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Micro-ondas Electrolux 23L Preto Efficient com Descongelamento Assistido (ME23P) 127V,7,899,https://www.mercadolivre.com.br/micro-ondas-electrolux-23l-preto-efficient-com-descongelamento-assistido-me23p-127v/p/MLB19617677#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=7&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=8309750b-2ace-11f0-896c-ef58f407f176&c_element_id=8309750b-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_632345-MLU78337184701_082024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Escova Secadora de Cabelos Britânia Bec07r Soft 4 Em 1 1300w Cabo Giratório Rosa Bivolt,8,139,https://www.mercadolivre.com.br/escova-secadora-de-cabelos-britnia-bec07r-soft-4-em-1-1300w-cabo-giratorio-rosa-bivolt/p/MLB19694427#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=8&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=8309750c-2ace-11f0-896c-ef58f407f176&c_element_id=8309750c-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_939258-MLU75809032162_042024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Mixer Turbo Chef 3 Em 1 200w Triturador E Fuet 127v Elgin,9,119,https://www.mercadolivre.com.br/mixer-turbo-chef-3-em-1-200w-triturador-e-fuet-127v-elgin/p/MLB18709030#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=9&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=8309750d-2ace-11f0-896c-ef58f407f176&c_element_id=8309750d-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_953357-MLU71001546630_082023-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Eletrodomésticos,Liquidificador Mondial 3 Velocidades Preto/cinza 550w L-93-BG Cor Preto 127V,10,89,https://www.mercadolivre.com.br/liquidificador-mondial-3-velocidades-pretocinza-550w-l-93-bg-cor-preto-127v/p/MLB46053181#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=10&c_campaign=eletrodomesticos&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=8309750e-2ace-11f0-896c-ef58f407f176&c_element_id=8309750e-2ace-11f0-896c-ef58f407f176&c_global_position=3,https://http2.mlstatic.com/D_Q_NP_742139-MLA83176622890_042025-P.webp,2025-05-06 20:04:50.205833
